Date,Comment
20120611183304Z,"""I am against fraction mentality. I am also a Rubinius adict, Open source devotee, and if you use Emacs, you will fuck up your wrists before I do and then I will take over your jobs.\n\nIt sounds consistent."""
20120528234613Z,"""Question: Are you a boy or a girl?"""
20120619193800Z,"""No monkey drinking it's own piss .GIF?"""
20120529151426Z,"""Cut your damn finger nails, woman."""
20120612051419Z,"""Ah you go to a game to watch it not have some moron spill beer on you. If he don't like it stay home you say. If some drunk moron can hold his beer maybe he should stay home instead of soaking others with it. The idiots can blow the horn into the air why into a guys ear."""
20120529225042Z,"""when the Turks and Qataris pull their Ads of their site."""
20120610022728Z,"""Who ever the fuck is going around saying I suck dick better run for their life. Imma set my dog on their ass."""
20120611172806Z,"""Nope nope nope. You betcha has never lynched anyone. Are you really this dumb?"""
20120612143107Z,"""Don't be a fucking asshole, don't strike up awkward conversations with strangers on the subway"""
20120620163952Z,"""Iwe you are being abusive...We have never abused people from other provinces saka you should shut your cakehole if you dont have anything meaningful to contribute...Kuipa seduzvi rebhinya..."""
20120529020117Z,"""I think this is a very good point.  LW probably hosts parties and would like to be invited to the kind of parties that she hosts.  But it seems that a lot of her friends just don't entertain that way.  What are you gonna' do?"""
20120620034438Z,"""Unless your name is actually Shatner, your comment is pretty ironic."""
,"""Gently pull the tampon out of your pussy and stop bitching... Bitch"""
,"""stick that up your-ass fruit cake. You get no tolerance and you get no special rights. We are not required to give you jackshit. I'm sorry I used the sh|t word. I know that gets you excited like a fart does...the homo-mating call."""
20120527175414Z,"""You apparently don't watch the celtics floppers lmao"""
,"""I've always been a Cisse fan, welcome back to the EPL."""
20120529090245Z,"""Pano kasi, she's just saying what is right! Can't you understand? BOBO talaga mga Pilipino."""
20120528033127Z,"""Take your pills. The Voices are obviously taking control again."""
20120514050658Z,"""You have got to be fucking kidding me! LMFAO! You have got to be the most naive fan or you're just a troll."""
,"""pedophilia is no more rampant in gays than it is in heteros, do some research so you dont sound so much like a bigoted douche"""
,"""@memphisdawg you can look for us to probably do 28 next year with 3 early enrolees (henry, ramsey, and someone else). we're fine on the o-line. we have 14 guys with zero graduating next year. you do have to take attrition into account, but we're already in the running for a ton this year. most of which would be top 5 linemen in the nation this year."""
20120528004415Z,"""Hi Nana...How are you today?"""
20120611211309Z,"""You're about as useful as a used tampon, but not as smart."""
20120515162004Z,"""i expect a little star wars charater from you for my bday :P"""
20120619205713Z,"""video's the SHIT...who you think you are Albert\xa0Einstein ....LOVE IT"""
,"""Obama....I'm blow'n mo smoke up yo arses.....Anyone wonder why the Dem's as such sheep.... It must be some DNA thing not to be able to do simple math.\\n\\nI just don't get it...."""
20120528201319Z,"""Just seen the Panorama on this and it was disgusting.\n\xa0\nNow this is where\xa0aggressive\xa0muslims should go if they want war.\n\xa0\nLet them fight it out amongst themselves."""
,"""oh no well embarrassing dont think i could do that"""
20120529235151Z,"""Read it in USA Today ---Akron 2nd lightest traffic in the USA\n\nhttp://www.usatoday.com/news/nation/story/2012-05-22/traffic-congestion-down/55120930/1"""
20120529061856Z,"""Chelsea gonna start their own cup, Bus Cup"""
,"""Obama's answer to EVERYTHING is raise taxes. More money for him to blow on give aways and flush down his green toilet. There is not enough money in the world to satisfy this spendthrift. """
20120612044931Z,"""you sir are an idiot"""
20120515153806Z,"""Why don't you  use Jake's current picture? He always looks gross. He looks depressed . He's definitely NOT hot at all. He looks like a homeless guy all the time."""
,"""@Bunny77@llindsay@jess1\\n\\nGinie Sayles books are great! Have you read Sophia Nelson\\'s book, ""Black Woman Redefined.""? She talks about how most BW\\'s social circles are lacking and gives advice on how to expand them for professional interests.\\n\\n \\n\\nI think expanding social circles and not self-segregating is one of the most important things BW need to do. There are a lot of BW that could be more advanced professionally, socially, etc. if they had better social and strategic circles. If we did we would see more BW CEO\\'s, etc."""
20120530142516Z,"""It has been more than one draft class.  And they have had more discipline issues than the norm."""
,"""Scandalous? \\xc2\\xa0So illuminating. \\xc2\\xa0So profound.\\nThe.sour.kraut must expect that anybody that listens to him will just accept his conclusions without presentation of any objective analysis.\\nHe is correct that is all anybody who believes in the pretentious pundit needs. \\xc2\\xa0He knows that there are lickspittles about that suck up his swill."""
20120529044413Z,"""Why don't you and loweeell trade phone numbers so we don't have to read trash...how does one idiot top another...try to get it!"""
20120529022409Z,"""Lol.......Ralph you are the guys who are still in Moi era..."""
20120529155618Z,"""Who actually share revenue equally.\xa0 You forgot that little nugget."""
20120527160033Z,"""My imoression is that Clint and Natasha had something once but were now just friends and comrades."""
20120609174009Z,"""Man im gna get one of those . And his fucking was hot as shitt ;) <3"""
20120609192058Z,"""Hey, guess what. If you spam this 60 times, this will happen.\n-A Beautiful mermaid will float down from the heavens and give you everything you ever wanted\n-You will live an absolutely terrific life\nIf you don't spam this 60 times, this will happen.\n-Your family will die\n-You will get eaten and then raped by wolves\n\n\nSeriously you idiots... Stop the spamming"""
20120609225507Z,"""You are more fun than the old chick down the street!"""
20120529085149Z,"""Ha, ha, ha,ha. If there is a troll around here, it is YOU!\xa0\n\nGo back under your bridge. We don't need you to garbage up another thread with your BS and non-sense. Best president. That is droll. If he is such a great president, then why does he give a free pass to torture?"""
20120320180305Z,"""no, it didnt, your comments just proved even more that you are a self absorbed pretentious asshole"""
20120320140709Z,"""Your statement only shows how stupid you are."""
20120619090510Z,"""I'll try not to miss this!\n\nAnd fuck you title \u0ca0_\u0ca0"""
,"""@jla It just leaves you speechless sometimes."""
20120530101902Z,"""depth lol alot of unproven players"""
20120610052756Z,"""I think it's setting the stage for Asami to feel all conflicted about her decision to join the good guys, because she loves her dad, and one of the good guys is being a dick to her. But yeah...boring."""
20120619180715Z,"""Nobody understands why you're a Paulbot, probably not even Ron Paul."""
20120612010819Z,"""@mahstah\xa0\xa0@MaddHatter\xa0\xa0@shooter \xa0CARTER method, Come (in) after richards then enter rear"""
20120618203350Z,"""STFU you cunt. Not everyone wants to receive IWs cock in their bum hole like you do."""
20120515133353Z,"""You are an idiot."""
20120620015953Z,"""why you gotta trash Cali?"""
20120529172715Z,"""And you s***ing lots of dicks!"""
20120529160544Z,"""why not hire the most qualified and capable instead of discrimating based on race and gender?"""
20120529172140Z,"""Pirates will join the Reds in Cubs Alliance against the St Louis Cardinals?"""
20120612141553Z,"""And you have ""little girl syndrome"".  And yet another piece of rock snot blobs on to GW in the form of ""joannaca""."""
20120530141243Z,"""One thing that disappointed me about DT last night... since my cable was out I was drawn to the threads and it was disgusting. People on here cussing at brooks, the refs, calling for whole sale changes.\n\xa0\nTo those where in the game thread last night. you should be ashamed. Knee-jerking and lambasting our team for every single thing that didn't go right. Seriously. I expected more from this group.\n\xa0\nyou want to complain? You want to give your advice? Then do that in a constructive manner. The time for debating whole sale changes and coaching extensions and amnestying Perk and what not will come later. But right now lets focus our energy on support OUR TEAM and looking at what they can do to improve.\n\xa0\nTHUNDER UP!"""
20120618213617Z,"""Agree with Alan you are an extremest idiot.   You are not American, we native americans are, you are an alien"""
20120609220842Z,"""not into that, more into celebrating how much chenney loves America"""
20120529182512Z,"""its gotta have some form of truth to be good trolling"""
,"""Bravo Bev, kill em with facts.  Very well put.  People like Jane who brag about the fund raisers they have or attend for the likes of Babs Boxer, thier rich husbands, and the top colleges that their children attend, make me want to puke.  They have no concept of anything outside the relm of their own closed neighborhoods.   Jane like other token liberals in this forum all wear rose tinted glasses, and the sun always shine on them and their neighborhood.  Jane would not last a single day in a neighborhood as you described it.  Sad, so darn sad.  Pops..."""
20120610145741Z,"""Too bad your liberal education failed you....you are a product of the liberal moocher society."""
20120612052950Z,"""If you really think that cutting out a one heart here and there matches many repeated incidents of mass murder, then you are merely seeking justification for continued mass murder."""
20120620012400Z,"""Another inferior leftist with no substance. Is that all you got?....""the car thief?""....sure sign you're losing. But then again inferior, leftists like you never address the facts of the issue....that's why you're inferior."""
20120529124818Z,"""All I do is work work work work \n\nAll I want is golf golf golf golf"""
20120620171234Z,"""I'm part Indian and I thought it was just pathetic/hilarious.\nI also am a little happy they took the time to translate it.\nThe girls actually look indian in a senseXD\nIt was just funny, ans not offensive in anyway.\nActually indidan culture is all the rage\xa0lately!"""
,"""pu-uc-ck the \\xc2\\xa0democrat TEETBAGGIN ...union scummies......50% don\\'t pay taxes that the country needs to operate...and they suck the life out of gov-ment programs...and all Odumbo can say is.....it\\'s the richs fault.. No, it\\'s the fault of people who drop out of school, have a bunch of kids...and watch TV...play on the internet...and xbox...and soak up the Food stamps, Medicaid, free school lunches, free baby siting...WIC, EIC, Pell grants to go to college and study...""medical asst, dental asst...and other ""show up and draw a check...\\n \\nGO VOTE and take your friends..Que?"""
20120503020946Z,"""Uggggh!!!! I left that bitch, and I'll never come back!"""
20120529044441Z,"""Republicans dont realize it, but,  ""birtherism"" and ""Rev Wright"" are dogs that dont hunt"""
20120529150724Z,"""Bad officiating or whatever.  If you think you can beat Miami getting out rebounded by 15, shooting 50% from the free throw, and giving up so many points in the point, you're nuts.  Non of those had nothing to do with bad officiating. Point blank..."""
20120502193652Z,"""Lol, i still don't know why you are mad tho..\xa0\nI only said that no matter where the boys and lee hyori are, we will always consider them as family."""
20120528052828Z,"""HAHAAHA THEY ARE  TRYING TO BANN  CATS CAUSE EVERYONE IS GETTING HIGH WHEN THEY SPRAY"""
20120620153847Z,"""You are intentionally ignorant Dragon."""
20120529051737Z,"""Maybe you all are just too negative."""
20120610073359Z,"""I was not shock when he stated that iy was his White House instead of the peoples house because he really believe that he's the superior to all the other Presidents and he's the only one according to him and the way he thinks is the only President that is doing right for us the citizens which of course is not true. He's a sad man to believe that he's so superior and above above all the other Presidents. He always have to be bouncing up and down the stairs like a spring chicken and always have to try and be hip with the greeting hugs and the flapping of chest to chest with the hand shake to top it off. Many times he speaks in a preaching tone of voice and wants to sound like the late Dr King, the truth is all he needs is some one on podium with him to play the organ. The man is an actor and really belong in Hollywood  no wonder he always hangs with the Hollywood crowds and he pretends to be a rock star. Like he stated 'my White House, I wonder what will comes out his mouth next. Oh he also stated that the private sector is doing fine. It's sad that many in theses United States are having a hard time and suffering and he has no clue nor really could care less as long as he has a place to stay and 3 square meals every day and in his White House as he stated.. Oh by the way have you all notice that everything that is going on is not his fault but it's the fault of everyone else but him, according to him he's doing a great job and everyone else is doing a lousy job, in other words he's 100% perfect without any flaws more that the master that created these heaven and earth and created every thing within it's borders, the I say he must be powerful so much more that God. Well time will tell as usual."""
20120528234623Z,"""Jimmy you're full of crap. You did set up Jessica why don't you just admit it. You should get fired too just like JLo and Steven Tyler. I hope you get what is coming to you- you dirty old fart."""
20120610014511Z,"""Hi ASHLEY. How many screennames do you have?"""
,"""it's called the_marxist_who wants to break America\\nnot surprised\\nit's their agendas and people like these _libs on here\\njust suck it up\\nNo concern over the fact that he's killing our country.\\n"""
20120528213333Z,"""I do believe that @boby:disqus\xa0 & @aproudELF:disqus\xa0 are the same girl with two different accounts .. the same sick mentality ... trashy and trolly"""
20120529221148Z,"""Im a heat fan & yes i have alot of confidence. there's no way wade & lebron would lose back to back in finals"""
20120620070518Z,"""@gregadeaux\xa0 that guy deserves a fucking medal."""
20120610160447Z,"""Are you better off now then you were 2 years ago before lepage went into office?"""
,"""@jumist People do tend to forget to look up these days.\\n\\n \\n\\nMyself im into astrophtography, its amazing what you can actually see if you have a good pair of eyes and are willing to wait 20 minutes for your eyes to adjust to the darkness. I recommend everyone give it a go, remember to avoid any white light (red, green or blue you can get away with), have a seat out there, relax with a warm drink and look up. Even in a big town, with a little time and careful viewing you can see the milky way"""
20120529061625Z,"""true emma, but Elvis sure did sell better than Chuck.\xa0\nWhere as we could debate the genius of Prince and MJ all day too. I prefer Prince hands down, but alot of people think MJ is better... the entertainer, the real musician?"""
,"""oh man, LA Confidential was sooo good"""
20120611232652Z,"""Enlighten us...their excuse 135 yars ago? 85 years ago? 55 years ago? 25 years ago? Do the answers change to fit your arguement?"""
,"""this why the poeple of the uk cannot get work,"""
20120619022806Z,"""how fucking DOPE"""
20120502214541Z,"""Guest I have been reading your post for a while,are you a female?"""
20120620142841Z,"""The fuck is the control room doing?"""
20120612004603Z,"""<b>nonsense</b> taken to a greater level than previosly thought possible."""
20120619015242Z,"""You really think shes speaking spanish? You are a fool aren't you?"""
20120529143918Z,"""Get a life you whine like a little girl"""
20120610075549Z,"""This is a good shirt to wear if you want the shit kicked out of you while bleeding from every orifice and sporting an atomic wedgie."""
20120611183422Z,"""Where is John Wilkes Booth when you need him?"""
20120618200703Z,"""I'm sure we wouldn't want this info falling into the wrong hadns and used gainst us so it seems a sensible move to hide the gory details."""
,"""PPPPPHHHH.....\\nactin like a dumb bitch about some nails she waited till all ofem done.... yellin bout 20 bucks, and a ugly ass weave and or wig, super thick makeup..... you think thats bad?\\nthats horrible..."""
20120530022828Z,"""Murray just needs a big win - I think if he could get a big win in a GS he could go all the way but as I told Wojo before I am starting to feel like if it doesn't happen for Murray this year he is done"""
20120502161335Z,"""Take you meds, go lie down and die."""
20120619090739Z,"""Randal, I don't want to beat up on you here since I'm very grateful you invited me to co-write God or Godless. I agree skeptics are learning something from you. So let me revise my speculation to be more precise. Most non-believers, especially former Christians, have CONSIDERED YOUR CONCLUSIONS BEFORE, but most Christians have not considered \nthe things I say. You are interesting. I'll grant you that. Perhaps what interests them is something Dr. Valerie Tarico said of my magnum opus:<blockquote>What is unusual about Loftus is his breadth and depth of research in \ndefense of the Christian faith before finally rejecting his faith. \nLoftus applies himself in this book with the same intellectual rigor he \nhad applied to defending the faith, and effectively dissects those very \nsame arguments. I found myself marveling at the impressively contorted \nreasoning used by apologists through the ages in defense of their \nreceived traditions. They are worth reading from the standpoint of \ncognitive psychology alone.</blockquote>You illustrate this better than most every other Christian apologist out there."""
20120619232507Z,"""I'll do it for Fijian dollars, even"""
20120620023314Z,"""You are wrong about brown people having to prove they're citizens - that idiotic law is on ice. Cops don't like it. They know there will be a shit storm of law suits and civil disobedience if it is upheld. And for the umpteenth time, that was MY congressman who was shot by a disturbed person had a long history of bizarre behavior. Any mass shootings in Michigan, or wherever you are from? Brewer was only a pissant secretary of state and became gov. because Janet Napolitano resigned, \xa0putting her ambition before the state. Fuck her. \xa0Perhaps we should go down the list of crazy tea baggers in every state of the union, every mass shooting, every crazy law that has been passed by tea baggers - who got their way because the left and center were too lazy, complacent and disorganized to compete with them.\nThe stereotyping that has gone on here on this forum would make nativists and team baggers very happy indeed. They can say \xa0""see - they're just like us""\n\nDo you all talk shit about Alabama, which has a stronger immigration law than the one in AZ which ISN'T being enforced? If you do, you are wrong to do that - Morris Dees and the SPLC are from Alabama, as are a lot of other decent human beings who resist the craziness that tea baggers are doing their damndest to spread around. The cowards who won't say where they are from on this forum love to talk shit - but lack the tanates to take it."""
,"""That's funny! I bet you can't get a citizenship. You probably don't even have your G.E.D.!! hahaha You Apes speak english and then you have people that become doctors from other countries that don't even speak english! Just look at you! Typing like a baboon, all in capital letters. You should appreciate that you were born in the U.S. otherwise, you would never attain citizenship. Whos the 31st president? You don't fucking know stupid ape."""
20120611205928Z,"""get the fuck to iowa u fucks!!!! ofwgkta is worldwide!! wtf"""
20120528233154Z,"""Yet the heatles due to poor depth lose the series"""
20120612114552Z,"""Are you just trying to be naughty? Athlone is a Coloured area, and I know many Coloureds with that surname, who by the way also lived in Athlone. So the gardener might be Coloured or African (local or foreign)."""
20120612044741Z,"""These are mostly facts, something you just don't want to admit.  Thanks for reminding us of what they are.  I'm sure we can think of a few more.  You know these are the truths but write it enough and you are disproving your point."""
20120515125520Z,"""Not even the death of a fellow human can stop the racist blacks in this country. But I hear what you are saying, all the farm murderers also walk free....so your point is?"""
20120529022554Z,"""THAT WAS A FOUL,  BUT IT WAS BAD TIMING ON THE REF"""
,"""@MichaelCorley Ah, soft shoe, the eternal language of ""I may be clueless, but I can do it in style!"""""
20120609162929Z,"""You should talk...you ARE a stalker and so is your dental receptionist loser girlfriend! \tTwo ugly yucks."""
20120618210400Z,"""Soon Hussein,Nancy Mussolini and Prince Harry will wonder where the party is. \n\nHint\nNot at the DNC"""
20120619185631Z,"""Non ho detto questo, quindi non inventare cose.\nAnzi, ho detto che delle scie mi interessa poco e vanno verificate, quindi di che parliamo?\nInsunto, chi e' contro il nucleare, esperti o meno che siano, sono tutti scemi?"""
,"""@shiki @SammyThunderer @The_Beard_Knows @Daniel Hawaii Ibaka was a monster game five of that series. One of reasons I totally didn't understand why people here wanted to get rid of him."""
,"""The great little one king obama took a chance on this. He is betting that this will blow over and be forgotten by the  November election. Hope not but only time will tell.   ALLONS"""
20120610140350Z,"""thinkoutloud - Obviously you prefer corruption - more fun and easy pickings of the public's money that way. \xa0We get it."""
20120620040925Z,"""Tatum you suck.   These drums are better than your mom."""
20120612035956Z,"""F \xa0u Ron Paul sell out schill bastard. Rand, you're no dif than any sob on the hill! Romney.. BURN in HELL! Id sooner vote for Satan"""
20120618232316Z,"""5 I was just goin to say that I love Brenda's got a baby and I Just Don't give a fuck!"""
20120619030303Z,"""your ugly and your sick daughter dresses you funny"""
,"""i realize i can go a little off the handle, but these ""its my way"" whiners burn_my ass.\\nThank you"""
20120320141836Z,"""...you son of a bitch.\n\n\n\nYOU SON OF A BITCH!"""
20120620014302Z,"""Heap your scorn upon LoW! It was he who revealed LKP/Russ to be one and the same:\n\xa0\nLambeauOrWrigley                                                            409 pts\nWho is this?\xa0 I think this is LKP!!!!\xa0 This is so awesome."""
20120619191800Z,"""You are correct.!"""
20120619191659Z,"""""When you\u2019re this deep in a hole, stop digging.""\nYou really should take your own advice, TC.\n\nRomney was telling an antidote from the trail. He said poor and seniors. He said BILLING address.\xa0\n\nYour stories are incorrect and you provided a form that is not relevant to what the doctor was talking about. You called Romney a liar, for relaying a story he heard that morning - one that, as we have discovered, is true - that govt. forms for changing billing addresses for Medicare - are anywhere from 27-59 pages long.\xa0\n\nYou are reeeeeeeeeeally stretching in that update."""
20120612005441Z,"""The recall was brought by the unions, you know that. They were outraged at having to chip in their 'fair share' (as the left likes to say). This was a power play and your side lost. Time to move on."""
20120528233319Z,"""Gay. Douch'e turd fuck."""
20120611202609Z,"""And so, Dummy Bob, is there a reasoned foundation for you post, that is , other than <b>nonsense</b>"""
20120610025123Z,"""by the way, typical Leadership, trying to imitate Sid's down on one knee wicked one timer"""
20120529051811Z,"""So much win in your comment"""
20120529172355Z,"""Except you gave away your civil liberties for the illusion of security. \xa0Good job!"""
20120610144114Z,"""Did you really just comment this? Your mother must be so proud. What a loser you are, DJR."""
20120529164758Z,"""...and with those shoes. \xa0Miss Brit needs to move into a more adult look. \xa0Her gyno length is now predictable and down right boring."""
20120610044703Z,"""You do know that a House Version of a Budget is on Harry Reid's desk and he refuses to take it up...\xa0 So the ball is in the Democrats court..."""
20120619222536Z,"""now that you have given him instructions  i am sure he will"""
20120618203753Z,"""lack of reality lmao like seriously are u fucking kiddin me. we got married is nothing but FAKE! this is reality here, ji hyun woo and yoo in na! so mbc we got married psycho fans get real! an mbc come up with a real reality show!"""
20120612132928Z,"""Shame on YOU.\xa0 Where were you when Perry was abusing her asshole."""
20120612013904Z,"""I love you Katy but I'm going to vote for BIGBANG! :D"""
,"""\\xc2\\xa0The only thing anyone's complaining about is a 501(c)3 non-profit acting like a PAC, which is not legal.\\xc2\\xa0 \\n\\nGet your head out of your-ass, idiot."""
20120503015640Z,"""If this message board is so filled with ""barking"" and ""silliness"" then what by God is someone of your stature doing\xa0posting here ? Are you slumming for the lord ? You are certainly not upholding a position of superior intellect. You certainly are not acting like a ""priest"" or a ""saint"". More like Lucifer stirring up the s%#t. A smell that becomes you and your kind."""
20120530070138Z,"""I'll check out Fox Sports Arizona. They block out the games here but i have the channel for regular programming."""
20120611031950Z,"""You ain't lying let the @dbeeio61:disqus\xa0\xa0 nigga tell you we some mothafuckin heathens"""
20120611174244Z,"""Are there no periods or commas on your keyboard, os is this how you were taught to structure a sentence? \xa0Let me guess, you went to public school on the really small bus, didn't you?"""
20120619150940Z,"""LULZ do some research on Nike some time.. \n\nyou are a moron."""
20120618201637Z,"""But don't you know as crazy as the two of us are, we'd have a blast together.\xa0 And then imagine the blog posts?\xa0 Awesome.\xa0 And you are not lame, no way.\xa0 Nothing wrong with trying to hang on to your cash.\xa0 I definitely have issues with that though.\xa0 \nXOXOs my friend."""
20120619220944Z,"""I hate it when my crap gets shit on it."""
20120612072634Z,"""@HDnatureTV\xa0\xa0@Gelugon_baat Gelugon is Kevin Van Ord? shocking news"""
20120612141630Z,"""I though that Mental Health would already have been a 'Core Part' of of health services. I suppose we'll have to read all about it on the FG website, just like the 5-point plan that he kept diverting people to during questioning prior to the election. Get lost Kenny. You're a disgrace to the teaching profession, and to the TD profession."""
,"""some of the commenters and so called bloggers here is enough to make a person puke, you try to sound as though you have all the answers, to the world problems but your words give you away, most never read a bible in your life but you pretend to know it all when it comes to the church and jesus christ, some even think if the use a lot of big words they will look smarter than us poor old dumb christians , people could worship a mule and it would be ok but a person who claims to be saved by the blood of christ\\xc2\\xa0 you act like we know nothing, you push any mention or anything relating to the church away from people, but at the same time kids are killing their class mates and teaachers and even themselves, i have heard enough i am prous to be a christian and a preacher of the gispel ( at no charge ) i work for my living just like every other tax paying god fearing christian, I believe that jesus died for sins of the world, i believe that the world hated jesus christ because he is a reminder of your sins and doom, so i agree with rick, GET S JOB\\xc2\\xa0\\xc2\\xa0 and go to church never know it just might help you."""
20120620172545Z,"""Right? That's always bugged the shit out of me in that dumbass series. That and the fact that they assume that if a human sees a sparkly fuck out in the woods they'll immediately assume they're a vampire. It's just too damn ridiculous."""
20120618233411Z,"""He deliberately brought this to a PvP engagement....\n\nMy mind is fucking blown..."""
20120612032608Z,"""Come on Erin, did you report the ""harassment""? I sure hope so, because it'll draw much needed attention to this disgusting pin."""
20120619201209Z,"""Shouldn't have the US officials kept their mouth shut until the notification process was complete? \xa0I agree with you, but the blame is more on them... the press will just run with what they're given."""
20120610105530Z,"""well sheez...whatever he did seems to be working...shootings and murders have been down...he must be making them do their job, no wonder they are quitting"""
20120609183738Z,"""So why are the democrats still blaming Bush? Still blaming the GOP for obstructing, when the GOP are the only ones passing Legislation? Blaming the GOP for forcing the President's hand on Keystone XL when it was 89-10 and 435-0 to pass that bill?"""
,"""because the zionists will blow us up if we don't at least try!"""
20120503012910Z,"""Awww, you are so sweet!"""
20120619200118Z,"""You're supreme leader,khameini,has made some statements vis-a-vis Israel which most normal people would construe as a threat.The one about ""wiping the Zionist regime from the pages of history"" comes to mind."""
20120611190811Z,"""Hey!!\xa0 If I could get down to LA in time!! I'd get you VIP's with me on my dime!!\n\nYou stood up again and are counted!!!!!\xa0 \n\nFront row or nose bleeds!!!!\xa0 \n\nIts Van Halen!!\xa0 And at the end of the day your going ..Thats all that matters!!\n\n\nOUTSTANDING!!!!"""
20120619091012Z,"""Charles, I've just had a good idea, when you go into work and you have a lunch hour, why not \xa0buy yourself a computer, a laptop just for for yourself, they are not expensive now, then you are free to write posts at a reasonable hour."""
20120619144621Z,"""He'd find an @$$ clown like you if he did."""
20120528043702Z,"""you people are disgusting"""
20120619003611Z,"""Everyone here (even gays) will tell u that you are a stupidfaggot who is brainless and proves the anti-gay cause right.. lol"""
20120619082206Z,"""I'm a troll and I atleast have wise things to say other than 'so-and-so is gay'. GO BACK TO TROLL SCHOOL AND REPORT BACK TO ME WHEN YOU'RE DONE. Anyways, Kangin is the only one I liked in Super Senior so..."""
,"""Cheers, everyone!"""
20120529163722Z,"""Did you actually know her personally or are you always this nasty?"""
20120619160039Z,"""That's the Teabaggers who are creating the ""police state"", fucktard.   You lose....yet again."""
20120612111710Z,"""not his fault how the heck was he supposed to know it would kill the guy, he was all freaked out by what he saw how can you judge your strength at that point?"""
,"""If they aren't careful, they may get a REAL big bang !\\xc2\\xa0\\n\\n"""
20120609222329Z,"""""Them""?\nYou mean the extremist group that enslaved the rest of the population, and that mostly originally came from PAKISTAN rather than Afghanistan itself?\nAre you really so short-sighted, evil and stupid that you would want an evil, \xa0authoritarian group like the Taliban rule simply because you don't like America?"""
,"""So disappointing. What an ass. Hollywood actors and singers have turn it into a town of druggies. They deserve their fate. """
20120610043438Z,"""stretch her ass open mah nigguh spit in her asshole and put ya dick deep in it give her an ANAL INFECTION BRUH!!!"""
,"""http://www.youtube.com/watch?v=_rLXnvkOadY&feature=related"""
20120528071912Z,"""Ryan and Greg talks about the Gravity Rush review?!\n\nI have to listen to this.Also, inFAMOUS 2!BEYOND!"""
20120529125924Z,"""The Kenyan Usurper is mighty testy about the subject of his eligibility.\xa0 Could it be that Obama's own publisher's description on the jacket of his books that the Bamster was born in Africa.\xa0\xa0 Why is he so ashamed of his background that he has to be a sociopathic LIAR.\xa0 Even his own family doubts him.\xa0\xa0 It will be an historic humiliation and dressing down for the foreigner who duped America when it all comes out.\xa0 history treats liars like Obama harshly."""
20120610043917Z,"""I Know--------I Just Swallowed One !!"""
,"""what is wrong with lace fronts??? personally I think if u a grown ass women that wear weaves but dont have any lace fronts, u need to step ya hair game up..Lace \\xc2\\xa0fronts r at the top of the hair \\xc2\\xa0pyramid...Lacefront is not going to go out of style..so if u hatin on lace fronts that most likely means u cant afford one...LMAO step it up bitches.."""
20120611170131Z,"""If ya wanna flirt easier to simply call me or come down to visit West Palm..."""
20120620170448Z,"""Looks like you are the Alpha Dog here."""
20120609223628Z,"""Because too many idiots sue to make money."""
20120618202340Z,"""Brazil is the future of this hemisphere, and women are the future of Brazil."""
,"""@redz_devil ugly men? so what type of guys do you usually go for then? this is football not a dating site wahh! sniff...wahh!"""
,"""how many of you gay rights supporters would sign petitions to\\xc2\\xa0legalize adoption-only incestuous relationships or consenting polygamous unions?\\xc2\\xa0 """
20120528003118Z,"""Thanks, I thought it was funny.   Sorry, I missed your funnies.  I'll try scrolling down to find them"""
,"""your all talk; if you saw a black man in the street your pale ass would run the other way. you stupid racist bastard."""
20120527232319Z,"""reading comprehension difficulties I see. Thats okay there are remedial classes you can take."""
20120529103519Z,"""screw you. you have no idea what you are talking about"""
20120620124135Z,"""It's the marketing change, not OMM. DO looking for a reason to blame some christian group so they can keep living in a boogey man fantasy world.\n\nGCB and Playboy club were cancelled because the shows fucking sucked. I gave both a try and both were absolutely terrible. Modern Family has a prominent gay couple and it does just fine on TV. And then there's Glee. Where's the mysterious power of OMM regarding those two?\n\nCEOs get fired for one reason only, ever, period: MONEY. Not making stockholders happy? You're fired.\n\nC'mon, DO, y'all can do better than this shit."""
20120529051751Z,"""Tolerance? For dictators? I never said such a thing, and I never would. You bring shame upon yourself making excuses for tyrants and murderers."""
20120320063715Z,"""fuck you faggot go suck your beho panot abnoy's small chinese dick (if anything's left, i heard it was shot off during the coup leaving abnoy with only one ball haha buti nga si panot)"""
,"""@JJRothery\\n\\n I posted a link above to the article. She actually resigned in December when the decsion was announced internally."""
20120528034620Z,"""FANS ARE SOOOO BLIND DUMB. refs handed game to spurs??? THUNDER MADE two more free throws than the spurs (19 to 17) AND SPURS STILL WON! shut it haters"""
,"""I would have told her broke ass Norway! too.\\xc2\\xa0 Black white\\xc2\\xa0 it don't matter...ppl are ppl but what is done haunts Black skin and as long as a negro acts like that I will always feel ashamed it's someone from my race."""
20120515165845Z,"""We are mostly straight henri, the View is for gay dudes like you isn;t it?"""
20120528094643Z,"""the mods arent your friends...\n\nquit sucking up to the jerk offs."""
20120619235803Z,"""Dictatorship, I think you'll find, is the preserve of the left. You know, Hitler, Mao, Fidel, Mussolini, Pol Pot, Franco, Stalin....\n\nIf you think the idiots on this blog who are calling for a dictatorship are right wing, then you're just as stupid as they are."""
